Title,Content Name,URL
Know your keyboard,Know your keyboard,https://np.chimpvine.com/mod/hvp/view.php?id=4327
Do's and don'ts with the computer,Do's and don'ts with the computer,https://np.chimpvine.com/mod/hvp/view.php?id=4329
Fun with painting,Fun with painting,https://np.chimpvine.com/mod/hvp/view.php?id=4330
Learn about notepad,Learn about notepad,https://np.chimpvine.com/mod/hvp/view.php?id=4333
Using a mouse,Using a mouse,https://np.chimpvine.com/mod/hvp/view.php?id=4337
Using keyboard,Using keyboard,https://np.chimpvine.com/mod/hvp/view.php?id=4341
Know your computer,Know your computer - Interactive book,https://np.chimpvine.com/mod/hvp/view.php?id=5166
Know your computer,Know your computer - Interactive quiz,https://np.chimpvine.com/mod/hvp/view.php?id=5167
Parts of computer system,Parts of computer system - Interactive book,https://np.chimpvine.com/mod/hvp/view.php?id=5196
Parts of computer system,Parts of computer system - Interactive quiz,https://np.chimpvine.com/mod/hvp/view.php?id=5197
Uses of a computer,Uses of a computer - Interactive book,https://np.chimpvine.com/mod/hvp/view.php?id=5234
Uses of a computer,Uses of a computer - Interactive quiz,https://np.chimpvine.com/mod/hvp/view.php?id=5235
