Title,Content Name,URL
Computer - a wonderful machine,Computer - a wonderful machine,https://np.chimpvine.com/mod/hvp/view.php?id=4361
Computer hardware,Computer hardware,https://np.chimpvine.com/mod/hvp/view.php?id=4369
Computer software,Computer software,https://np.chimpvine.com/mod/hvp/view.php?id=4372
MS - paint,MS - paint,https://np.chimpvine.com/mod/hvp/view.php?id=4375
Using the calculator,Using the calculator,https://np.chimpvine.com/mod/hvp/view.php?id=4386
Let's use wordpad,Let's use wordpad,https://np.chimpvine.com/mod/hvp/view.php?id=4387
Creating magic with wordpad,Creating magic with wordpad,https://np.chimpvine.com/mod/hvp/view.php?id=4495
Typing skills,Typing skill,https://np.chimpvine.com/mod/hvp/view.php?id=4509
History of computer,History of computer - Interactive book,https://np.chimpvine.com/mod/hvp/view.php?id=5141
History of computer,History of computer - Interactive quiz,https://np.chimpvine.com/mod/hvp/view.php?id=5142
