Title,Content Name,URL
Central processing unit (CPU),Central processing unit (CPU),https://np.chimpvine.com/mod/hvp/view.php?id=4324
The keyboard,The keyboard,https://np.chimpvine.com/mod/hvp/view.php?id=4325
Let's paint using a computer,Let’s paint using a computer,https://np.chimpvine.com/mod/hvp/view.php?id=4326
Monitor (display unit),Monitor (display unit),https://np.chimpvine.com/mod/hvp/view.php?id=4328
Computer and its use,Computer and its uses,https://np.chimpvine.com/mod/hvp/view.php?id=4340
Do's and don'ts with a computer,Do's and don'ts with a computer,https://np.chimpvine.com/mod/hvp/view.php?id=4373
Music player,Music player,https://np.chimpvine.com/mod/hvp/view.php?id=4378
Mighty mouse,Learn about mighty mouse,https://np.chimpvine.com/mod/hvp/view.php?id=4402
Computer (A Smart Machine),Computer (A Smart Machine) - Interactive book,https://np.chimpvine.com/mod/hvp/view.php?id=5161
Computer (A Smart Machine),Computer (A Smart Machine) - Interactive quiz,https://np.chimpvine.com/mod/hvp/view.php?id=5162
Parts of a computer,Parts of a computer - Interactive book,https://np.chimpvine.com/mod/hvp/view.php?id=5226
Parts of a computer,Parts of a computer - Interactive quiz,https://np.chimpvine.com/mod/hvp/view.php?id=5227
